,year,records
0,1880,1348.0
1,1881,451.0
2,1882,474.0
3,1883,458.0
4,1884,646.0
5,1885,678.0
6,1886,734.0
7,1887,473.0
8,1888,857.0
9,1889,423.0
10,1890,378.0
11,1891,387.0
12,1892,387.0
13,1893,388.0
14,1894,940.0
15,1895,840.0
16,1896,709.0
17,1897,725.0
18,1898,547.0
19,1899,1159.0
20,1900,434.0
21,1901,930.0
22,1902,546.0
23,1903,1201.0
24,1904,491.0
25,1905,816.0
26,1906,1025.0
27,1907,914.0
28,1908,415.0
29,1909,845.0
30,1910,605.0
31,1911,799.0
32,1912,1355.0
33,1913,1245.0
34,1914,649.0
35,1915,1181.0
36,1916,1101.0
37,1917,1886.0
38,1918,1199.0
39,1919,1308.0
40,1920,1336.0
41,1921,478.0
42,1922,642.0
43,1923,865.0
44,1924,1189.0
45,1925,1175.0
46,1926,705.0
47,1927,878.0
48,1928,925.0
49,1929,1043.0
50,1930,1106.0
51,1931,744.0
52,1932,1484.0
53,1933,991.0
54,1934,651.0
55,1935,1296.0
56,1936,1666.0
57,1937,1432.0
58,1938,516.0
59,1939,492.0
60,1940,1190.0
61,1941,501.0
62,1942,643.0
63,1943,773.0
64,1944,402.0
65,1945,839.0
66,1946,511.0
67,1947,665.0
68,1948,736.0
69,1949,791.0
70,1950,1246.0
71,1951,1188.0
72,1952,587.0
73,1953,400.0
74,1954,460.0
75,1955,933.0
76,1956,411.0
77,1957,610.0
78,1958,546.0
79,1959,654.0
80,1960,788.0
81,1961,506.0
82,1962,741.0
83,1963,497.0
84,1964,565.0
85,1965,1005.0
86,1966,657.0
87,1967,889.0
88,1968,697.0
89,1969,536.0
90,1970,527.0
91,1971,655.0
92,1972,1011.0
93,1973,364.0
94,1974,661.0
95,1975,585.0
96,1976,611.0
97,1977,324.0
98,1978,459.0
99,1979,531.0
100,1980,281.0
101,1981,246.0
102,1982,460.0
103,1983,1075.0
104,1984,413.0
105,1985,1184.0
106,1986,492.0
107,1987,437.0
108,1988,194.0
109,1989,1126.0
110,1990,645.0
111,1991,851.0
112,1992,773.0
113,1993,775.0
114,1994,454.0
115,1995,554.0
116,1996,554.0
117,1997,757.0
118,1998,329.0
119,1999,395.0
120,2000,691.0
121,2001,168.0
122,2002,341.0
123,2003,295.0
124,2004,549.0
125,2005,162.0
126,2006,276.0
127,2007,316.0
128,2008,459.0
129,2009,696.0
130,2010,380.0
131,2011,550.0
132,2012,217.0
133,2013,684.0
134,2014,732.0
135,2015,359.0
136,2016,94.0
137,2017,332.0
138,2018,410.0
139,2019,736.0
140,2020,582.0
