,year,records
0,1880,3519.0
1,1881,4436.0
2,1882,2642.0
3,1883,4226.0
4,1884,3904.0
5,1885,4427.0
6,1886,7592.0
7,1887,7870.0
8,1888,8013.0
9,1889,10235.0
10,1890,7844.0
11,1891,7587.0
12,1892,10682.0
13,1893,19388.0
14,1894,15603.0
15,1895,27859.0
16,1896,19540.0
17,1897,18976.0
18,1898,14058.0
19,1899,23235.0
20,1900,15002.0
21,1901,18977.0
22,1902,13919.0
23,1903,10793.0
24,1904,8376.0
25,1905,13418.0
26,1906,10006.0
27,1907,9165.0
28,1908,11845.0
29,1909,11280.0
30,1910,10431.0
31,1911,11405.0
32,1912,14034.0
33,1913,14849.0
34,1914,15388.0
35,1915,16972.0
36,1916,15803.0
37,1917,13880.0
38,1918,11387.0
39,1919,16138.0
40,1920,11762.0
41,1921,11649.0
42,1922,10523.0
43,1923,11949.0
44,1924,15053.0
45,1925,16376.0
46,1926,17452.0
47,1927,15039.0
48,1928,16868.0
49,1929,12949.0
50,1930,18169.0
51,1931,16156.0
52,1932,16087.0
53,1933,13137.0
54,1934,15091.0
55,1935,14429.0
56,1936,19560.0
57,1937,17183.0
58,1938,16797.0
59,1939,17552.0
60,1940,14903.0
61,1941,16072.0
62,1942,15918.0
63,1943,12833.0
64,1944,12667.0
65,1945,10897.0
66,1946,11734.0
67,1947,17213.0
68,1948,11378.0
69,1949,9530.0
70,1950,8533.0
71,1951,9286.0
72,1952,7858.0
73,1953,9642.0
74,1954,6426.0
75,1955,7318.0
76,1956,5637.0
77,1957,8595.0
78,1958,8346.0
79,1959,7344.0
80,1960,5626.0
81,1961,6982.0
82,1962,7540.0
83,1963,9897.0
84,1964,4577.0
85,1965,5207.0
86,1966,7775.0
87,1967,9866.0
88,1968,8161.0
89,1969,9344.0
90,1970,7494.0
91,1971,7150.0
92,1972,8433.0
93,1973,8829.0
94,1974,7040.0
95,1975,9091.0
96,1976,6958.0
97,1977,10845.0
98,1978,8159.0
99,1979,11428.0
100,1980,10442.0
101,1981,13651.0
102,1982,7551.0
103,1983,10543.0
104,1984,9535.0
105,1985,6567.0
106,1986,8452.0
107,1987,13563.0
108,1988,12152.0
109,1989,15079.0
110,1990,20436.0
111,1991,16073.0
112,1992,9966.0
113,1993,9640.0
114,1994,11747.0
115,1995,18596.0
116,1996,18906.0
117,1997,17853.0
118,1998,24010.0
119,1999,16346.0
120,2000,14306.0
121,2001,18573.0
122,2002,27847.0
123,2003,19237.0
124,2004,15758.0
125,2005,22850.0
126,2006,24375.0
127,2007,27900.0
128,2008,21710.0
129,2009,26598.0
130,2010,44384.0
131,2011,24329.0
132,2012,23811.0
133,2013,30497.0
134,2014,27524.0
135,2015,32125.0
136,2016,32886.0
137,2017,31895.0
138,2018,33306.0
139,2019,38080.0
140,2020,36654.0
