,year,records
0,1880,7520.524646920099
1,1881,6221.116718844283
2,1882,5163.344048533366
3,1883,6122.681368805001
4,1884,10464.630975747887
5,1885,7423.564581480392
6,1886,11432.94903414662
7,1887,11573.232415587012
8,1888,10161.1788223914
9,1889,7087.0618286014
10,1890,9988.49373344477
11,1891,9357.107449447118
12,1892,10086.43988308034
13,1893,24571.69145744101
14,1894,32589.789563241815
15,1895,27127.153299369886
16,1896,24078.702267105742
17,1897,20725.178519479032
18,1898,20105.587326147706
19,1899,21766.402211768695
20,1900,13562.872185294174
21,1901,14180.492462342025
22,1902,11891.817373033951
23,1903,15787.572105463154
24,1904,11784.348611966123
25,1905,17139.81473773092
26,1906,14791.13890036971
27,1907,14716.029779231138
28,1908,17315.642712306002
29,1909,16992.523690429498
30,1910,11857.728710849105
31,1911,17647.62651179732
32,1912,16332.21526379164
33,1913,15486.856091321963
34,1914,14476.981071317492
35,1915,11746.700444874054
36,1916,16522.6938573829
37,1917,21854.28400154546
38,1918,20668.73169041922
39,1919,21180.0494888923
40,1920,19611.73511520195
41,1921,15107.632990315622
42,1922,12894.64275882256
43,1923,13634.36417233304
44,1924,17400.019099509947
45,1925,13695.971967539728
46,1926,10921.221126041975
47,1927,11308.737247494211
48,1928,11089.629900214506
49,1929,26522.167569291712
50,1930,15956.493742445748
51,1931,12980.797707696081
52,1932,17010.367013426614
53,1933,18441.335799295142
54,1934,13899.408363567829
55,1935,14956.221768817639
56,1936,18988.019674421903
57,1937,10584.738454491766
58,1938,10039.942795868146
59,1939,10474.664946650128
60,1940,10707.083446987885
61,1941,7367.623400253716
62,1942,10317.534906878926
63,1943,11523.710190125757
64,1944,5546.138635497619
65,1945,7918.346461397607
66,1946,7029.46298499406
67,1947,8418.741872616918
68,1948,8160.264844847468
69,1949,9403.569570909862
70,1950,9764.56535511689
71,1951,7510.954051909504
72,1952,6660.510420856294
73,1953,6056.4825978102535
74,1954,8885.505139885843
75,1955,8608.749223388873
76,1956,10058.782983500689
77,1957,8500.982053695945
78,1958,7843.594838342999
79,1959,11281.095673630945
80,1960,11345.076138060678
81,1961,6834.754314301141
82,1962,10012.866768474345
83,1963,8142.957038409771
84,1964,9515.520184666153
85,1965,8224.507022137554
86,1966,9382.636154297976
87,1967,9211.836115790924
88,1968,14158.483089132817
89,1969,16980.350884649888
90,1970,8792.24120414845
91,1971,10990.127297183033
92,1972,11328.619224025293
93,1973,9728.304149480622
94,1974,12298.564754506593
95,1975,8829.589708346544
96,1976,16446.62988874816
97,1977,12129.956381737476
98,1978,14351.030024906351
99,1979,13658.0317480276
100,1980,8556.117591583592
101,1981,9922.913800244762
102,1982,12319.925776881068
103,1983,10417.123349757196
104,1984,12837.172691024918
105,1985,12733.509457947172
106,1986,11664.04653837303
107,1987,15366.683053746276
108,1988,6798.918783233269
109,1989,11405.563911503983
110,1990,6985.975209446942
111,1991,8980.906580178082
112,1992,16758.726131799573
113,1993,15130.615025042553
114,1994,10871.845667386464
115,1995,9431.273909254624
116,1996,11648.443168584601
117,1997,11051.510702374244
118,1998,12517.329738012153
119,1999,11506.161947879684
120,2000,10911.987622423932
121,2001,8844.335434461282
122,2002,8203.506727302705
123,2003,7348.758374300508
124,2004,10390.30670402897
125,2005,5920.000470305959
126,2006,6993.079945779506
127,2007,5124.598440582317
128,2008,7591.373862959364
129,2009,7892.721488883458
130,2010,11358.410957414759
131,2011,6643.241262054088
132,2012,7619.342922773575
133,2013,9394.139377179274
134,2014,6973.415845896823
135,2015,7467.517698820158
136,2016,9291.73162234807
137,2017,5794.804652158696
138,2018,7069.1558333437015
139,2019,7820.90850418294
140,2020,5642.106937656299
