,year,records
0,1880,221.60280189918092
1,1881,222.29039224014855
2,1882,91.70102403316393
3,1883,119.98950143622915
4,1884,72.91349194442842
5,1885,161.0905031000907
6,1886,311.2162025261447
7,1887,178.90952177275304
8,1888,216.39131176459097
9,1889,283.2748805261603
10,1890,250.6993106450254
11,1891,311.3551479637508
12,1892,163.76741586485014
13,1893,402.2125613459299
14,1894,265.27496401456926
15,1895,454.92997654910766
16,1896,493.45647045222336
17,1897,366.0617503364139
18,1898,243.75983475959424
19,1899,363.96502796583303
20,1900,446.00591306786816
21,1901,460.6507840332154
22,1902,323.1697493891114
23,1903,94.6130689682485
24,1904,302.41448274500164
25,1905,263.3365798419612
26,1906,240.74932421068365
27,1907,643.0445331199136
28,1908,376.80925378081656
29,1909,319.5254516854007
30,1910,1049.24018721974
31,1911,1290.2674510334616
32,1912,112.40301404322872
33,1913,409.8895803652822
34,1914,497.0011891726141
35,1915,529.8282878957127
36,1916,394.0577289222224
37,1917,627.5382099409642
38,1918,916.2081347127092
39,1919,413.9058720943518
40,1920,224.75821403427207
41,1921,954.1630296439378
42,1922,522.2886617228769
43,1923,508.13227461600496
44,1924,476.547410215934
45,1925,1398.3819593104345
46,1926,883.0536767033035
47,1927,984.4462951309355
48,1928,542.300430086776
49,1929,615.3043344002697
50,1930,1257.2368419852353
51,1931,1627.0939261467306
52,1932,617.2876990286376
53,1933,1291.5494683229376
54,1934,2362.4042782806523
55,1935,377.35177483832337
56,1936,2191.285244084591
57,1937,859.2280112862721
58,1938,863.9123372110352
59,1939,1908.2776715898055
60,1940,870.2324952320143
61,1941,683.8778880718085
62,1942,608.1512086038651
63,1943,771.0752451800308
64,1944,650.7292988674876
65,1945,447.44498811943373
66,1946,661.542271981304
67,1947,1064.592911088229
68,1948,643.4659501006616
69,1949,814.7983482333253
70,1950,1211.9396771783684
71,1951,542.9216331054231
72,1952,836.1644205710305
73,1953,1199.6628519389808
74,1954,1015.1483911381271
75,1955,638.94722136117
76,1956,668.1324797613673
77,1957,448.84377510584875
78,1958,540.7129379626513
79,1959,350.468697292104
80,1960,335.57520334843076
81,1961,349.8327660332907
82,1962,664.6116682571621
83,1963,825.4244663489942
84,1964,217.0525595876055
85,1965,304.93406513299243
86,1966,267.3917255203041
87,1967,465.9422653627076
88,1968,214.92868563357098
89,1969,369.43268215311326
90,1970,205.37199253069596
91,1971,364.903900344758
92,1972,449.19512970083673
93,1973,184.75160581879675
94,1974,446.144387908639
95,1975,177.72411796636698
96,1976,417.33492243810235
97,1977,678.8053543668979
98,1978,209.5923124857686
99,1979,450.3455280807943
100,1980,974.2996002154742
101,1981,695.6960564394617
102,1982,218.938109385856
103,1983,236.70036598409004
104,1984,398.9192774638965
105,1985,404.590995674359
106,1986,803.1112592050787
107,1987,659.5014408509271
108,1988,812.3332629457783
109,1989,1140.619014213905
110,1990,938.359141739029
111,1991,609.9576624232496
112,1992,579.0100309776047
113,1993,224.52387229589286
114,1994,523.2524585789798
115,1995,1130.403893504282
116,1996,986.5075344524003
117,1997,420.8769761209949
118,1998,1519.6673986622448
119,1999,1367.898183004611
120,2000,1574.2922475573548
121,2001,1009.3017479558105
122,2002,1756.5322700128825
123,2003,1861.0933572621032
124,2004,1103.0316011648297
125,2005,1485.5978359817034
126,2006,1449.236344254194
127,2007,1528.0396565357014
128,2008,862.8035796531951
129,2009,1015.080930585339
130,2010,1276.4319056931513
131,2011,1783.9139930195777
132,2012,2247.3167002993837
133,2013,1130.7002340549298
134,2014,1215.8443361343122
135,2015,2507.81118992094
136,2016,2358.877551322215
137,2017,2487.800410329935
138,2018,1765.387994143371
139,2019,2002.582271342044
140,2020,1935.2183312695076
