,year,records
0,1880,1300.960699650034
1,1881,366.7666766524771
2,1882,528.7444089974268
3,1883,393.44288351187424
4,1884,634.499269901613
5,1885,635.1596239181041
6,1886,802.472340075906
7,1887,466.0866091109104
8,1888,698.095786849362
9,1889,373.33717813364626
10,1890,393.62227388569755
11,1891,348.4639600896305
12,1892,353.8301767849071
13,1893,449.42106240063396
14,1894,1425.0505263505036
15,1895,1045.5898809750408
16,1896,893.4307693644142
17,1897,906.3683662386198
18,1898,515.259732311918
19,1899,1085.8072029568498
20,1900,372.3883854380113
21,1901,966.0865789056796
22,1902,652.367121506663
23,1903,1148.4788214827875
24,1904,451.9555597340329
25,1905,813.2262017638723
26,1906,1141.2636986872665
27,1907,867.4990628138661
28,1908,543.7277460995057
29,1909,906.3650605824242
30,1910,685.4506561732679
31,1911,777.3089878976756
32,1912,1260.6547659794633
33,1913,1190.0771333842051
34,1914,561.7130962473212
35,1915,1067.7767803510312
36,1916,1099.1922926900193
37,1917,2103.1746545134033
38,1918,1164.626301336964
39,1919,1274.0973018655714
40,1920,1317.0434732930203
41,1921,460.4907505742348
42,1922,743.5444606452318
43,1923,763.586640050848
44,1924,1477.2655448835053
45,1925,1100.4989796529428
46,1926,602.1530768444549
47,1927,965.4218114656597
48,1928,824.4871931596983
49,1929,998.4186469510732
50,1930,1105.0974532225184
51,1931,789.792187745013
52,1932,1540.7942955972765
53,1933,1116.761043863455
54,1934,681.6384454557692
55,1935,1311.8238996538282
56,1936,1681.509941613006
57,1937,1362.3328903886227
58,1938,520.6673373913202
59,1939,483.00398382392507
60,1940,1086.907522205295
61,1941,488.01950818590745
62,1942,630.4146054360334
63,1943,781.8032669245882
64,1944,542.9981441594729
65,1945,1009.5883412479568
66,1946,685.0565952575843
67,1947,870.78832496523
68,1948,952.4018567849186
69,1949,1060.3830648927908
70,1950,1158.1287682469783
71,1951,1138.4160225447574
72,1952,683.155324614787
73,1953,374.06179452730373
74,1954,448.4328981205059
75,1955,1042.7302439646533
76,1956,734.5000970409544
77,1957,673.8433428116148
78,1958,526.5162791301999
79,1959,707.603451371683
80,1960,722.8566520244273
81,1961,576.5032110219943
82,1962,712.8424192898882
83,1963,501.8710815682633
84,1964,695.8392245856772
85,1965,1011.7020222900893
86,1966,732.927342987399
87,1967,855.089954543116
88,1968,657.0326278622967
89,1969,705.3756735718291
90,1970,748.4577417652297
91,1971,1134.5012633357217
92,1972,1097.7701694495952
93,1973,397.44545629815
94,1974,774.9367885619597
95,1975,867.4186982108057
96,1976,602.3793674414158
97,1977,368.97522785749356
98,1978,473.27213263224616
99,1979,587.3336511193503
100,1980,377.84987039536526
101,1981,295.5996349127521
102,1982,503.14027751501544
103,1983,1115.3593379728554
104,1984,562.6848086287171
105,1985,1311.1570848738002
106,1986,555.3387223624283
107,1987,436.52641628291974
108,1988,208.67815776304047
109,1989,1229.9984101314553
110,1990,755.5808529490475
111,1991,866.642960412417
112,1992,1304.3818609942316
113,1993,779.7813648296814
114,1994,540.7934369559533
115,1995,655.2119162863643
116,1996,779.4638066947224
117,1997,788.8890747002011
118,1998,410.951458296119
119,1999,572.6993731442068
120,2000,781.9590296407953
121,2001,311.55494368047067
122,2002,425.9481747094957
123,2003,311.23454812469174
124,2004,532.2191106205379
125,2005,201.17224153630937
126,2006,386.9394870901478
127,2007,356.2713616206162
128,2008,585.53915395024
129,2009,790.7611772000337
130,2010,366.7042852585096
131,2011,674.2666915319829
132,2012,418.56094801213584
133,2013,875.9278716549106
134,2014,740.2338736027865
135,2015,411.98633838658867
136,2016,105.79037280976284
137,2017,327.0375259135763
138,2018,431.94819767195804
139,2019,667.1147100759046
140,2020,556.382758634342
